,RK,Name,POS,SOLO,AST,TOT,SACK,YDS,PD,INT,YDS,LNG,TD,FF,Team
0,1,Kyle Efford,LB,6,17,23,0.0,0,0,0,0,0,0,0,GT
1,2,Shyheim Brown,DB,13,8,21,0.0,0,0,0,0,0,0,0,FSU
2,2,Drue Watts,LB,12,9,21,0.0,0,1,0,0,0,0,0,NEV
3,4,Noah Avinger,CB,10,10,20,0.0,0,2,0,0,0,0,0,UNM
4,5,Christian Ellis,S,8,11,19,8.0,0,1,1,0,0,0,0,UNM
5,6,Cam Riley,LB,9,8,17,0.0,0,0,0,0,0,0,1,FSU
6,7,Dorian Hopkins,LB,6,10,16,0.0,0,0,0,0,0,0,0,UTEP
7,8,DJ Lundy,LB,11,4,15,0.0,0,1,0,0,0,0,0,FSU
8,8,Trey Rucker,S,9,6,15,0.0,0,0,0,0,0,0,0,OKST
9,8,Tongiaki Mateialona,LB,9,6,15,0.0,0,2,0,0,0,0,0,NEV
10,11,Isaiah Nwokobia,S,8,6,14,0.0,0,0,0,0,0,0,0,SMU
11,11,Nick Andersen,DB,9,5,14,0.0,0,0,0,0,0,0,0,WAKE
12,11,Dariel Djabome,LB,5,9,14,0.0,0,0,0,0,0,0,0,RUTG
13,14,Jacob Rodriguez,LB,9,4,13,0.0,0,1,0,0,0,0,1,TTU
14,14,Kobe Wilson,LB,9,4,13,0.0,0,0,0,0,0,0,0,SMU
15,14,Baron Hopson,LB,4,9,13,0.0,0,0,0,0,0,0,0,KENN
16,14,James Djonkam,LB,3,10,13,1.0,3,0,0,0,0,0,0,EMU
17,14,Bobby Arnold,CB,4,9,13,0.0,0,0,0,0,0,0,0,IIIUNM
18,19,Kitan Crawford,S,5,7,12,0.0,0,0,0,0,0,0,0,NEV
19,19,Angelo Grose,DB,9,3,12,0.0,0,0,1,15,15,0,1,MSU
20,19,Kolbe Fields,LB,6,6,12,1.5,9,0,0,0,0,0,0,LT
21,19,Kevin Winston Jr.,S,7,5,12,0.0,0,0,0,0,0,0,1,PSU
22,19,Pat Taylor,S,1,11,12,0.0,0,0,0,0,0,0,0,JVST
23,19,Aiden Fisher,LB,4,8,12,1.0,1,0,0,0,0,0,0,IU
24,19,Blayne Myrick,LB,3,9,12,0.0,0,0,0,0,0,0,0,USA
25,19,Jamih Otis,LB,8,4,12,1.0,2,0,0,0,0,0,0,HAW
26,19,Austin Brawley,S,9,3,12,0.0,0,1,0,0,0,0,0,OHIO
27,19,Peter Manuma,DB,11,1,12,0.0,0,1,0,0,0,0,0,HAW
28,29,Henry Ikahihifo,DL,3,8,11,0.5,1,0,0,0,0,0,0,NEV
29,29,LaMiles Brooks,DB,7,4,11,0.0,0,0,0,0,0,0,0,GT
30,29,Justin Abraham,LB,9,2,11,0.0,0,0,0,0,0,0,0,GAST
31,29,Jordan Cobbs,LB,3,8,11,0.0,0,0,0,0,0,0,0,SJSU
32,29,Cody Lindenberg,LB,4,7,11,0.0,0,0,0,0,0,0,0,MINN
33,29,Maurion Horn,DB,6,5,11,0.0,0,0,0,0,0,0,0,TTU
34,29,Jackson Woodard,LB,7,4,11,3.0,23,1,0,0,0,0,0,UNLV
35,29,JoJo Evans,DB,6,5,11,0.0,0,1,0,0,0,0,0,FIU
36,29,Shaun Dolac,LB,6,5,11,1.0,1,0,1,12,12,0,0,BUFF
37,29,Clayton Powell-Lee,DB,6,5,11,0.0,0,0,0,0,0,0,0,GT
38,29,Jamel Johnson,S,6,5,11,0.0,0,0,0,0,0,0,1,TCU
39,29,Isaac Smith,S,5,6,11,0.0,0,1,0,0,0,0,0,MSST
40,29,Reid Williford,LB,4,7,11,0.0,0,0,0,0,0,0,0,CLT
41,29,Chad Brown,DB,8,3,11,0.0,0,2,1,0,0,0,0,NEV
42,29,Jontez Williams,DB,6,5,11,0.0,0,1,0,0,0,0,0,ISU
43,44,Jakeen Harris,DB,4,6,10,0.0,0,0,0,0,0,0,0,UNC
44,44,Matt SalopekM-,LB,4,6,10,0.0,0,1,0,0,0,0,0,OH
45,44,Ahmari Harvey,DB,8,2,10,0.0,0,0,0,0,0,0,0,GT
46,44,Langston Patterson,LB,4,6,10,0.0,0,0,0,0,0,0,0,VAN
47,44,Donald Willis,LB,6,4,10,0.0,0,2,0,0,0,0,0,WMU
48,44,Jackson Ambush,LB,5,5,10,0.0,0,0,0,0,0,0,0,FAU
49,44,Nick Martin,LB,7,3,10,1.0,9,1,0,0,0,0,0,OKST
50,44,Antonio Carter,S,6,4,10,0.0,0,1,0,0,0,0,0,JVST
51,44,Gaethan Bernadel,LB,4,6,10,0.0,0,0,0,0,0,0,0,STAN
52,44,Henry Blackburn,DB,8,2,10,0.0,0,0,0,0,0,0,0,CSU
53,44,Ahmad Walker,LB,6,4,10,0.0,0,0,0,0,0,0,0,SMU
54,44,Kyle Arnholt,LB,0,10,10,0.0,0,0,0,0,0,0,0,APP
55,44,Trevor Woods,LB,6,4,10,0.0,0,0,0,0,0,0,0,COLO
56,44,Kory Chapman,LB,4,6,10,0.0,0,0,0,0,0,0,0,UTEP
57,44,Aedan Seiuli,DB,7,3,10,0.0,0,0,0,0,0,0,0,NEV
58,44,Jordan Vincent,S,3,7,10,0.0,0,0,0,0,0,0,0,USU
59,44,Jordan Kwiatkowski,LB,3,7,10,0.0,0,1,0,0,0,0,0,CMU
60,44,Maverick Baranowski,LB,4,6,10,0.0,0,0,0,0,0,0,0,MINN
61,44,Josiah Trotter,LB,5,5,10,0.0,0,1,0,0,0,0,0,WVU
62,44,Kyle Louis,LB,2,8,10,1.0,6,0,0,0,0,0,0,PITT
63,44,Colin Ramos,LB,4,6,10,0.0,0,0,0,0,0,0,0,NAVY
64,44,Jon Ross Maye,LB,2,8,10,0.0,0,0,0,0,0,0,0,USU
65,44,Alexander Kilgore,LB,5,5,10,0.0,0,0,0,0,0,0,0,SMU
66,44,Brandon Johnson,RB,4,6,10,0.0,0,0,0,0,0,0,0,ARIZ
67,44,Jaxson Campbell,S,5,5,10,0.5,2,1,0,0,0,0,0,NAVY
68,44,Bilhal Kone,CB,5,5,10,0.0,0,2,0,0,0,0,0,WMU
69,44,Caleb Weaver,DB,7,3,10,0.0,0,0,0,0,0,0,0,SHSU
70,44,Wydett Williams Jr.,DB,3,7,10,0.5,5,0,1,0,0,0,0,ULM
71,44,Camryn Bracha,DB,7,3,10,0.0,0,0,0,0,0,0,0,FRES
72,73,Shilo Sanders,S,6,3,9,0.0,0,0,0,0,0,0,0,COLO
73,73,Boone Bonnema,LB,5,4,9,0.0,0,0,0,0,0,0,0,WMU
74,73,JT Killen,LB,2,7,9,0.0,0,0,0,0,0,0,0,EMU
75,73,Lathan Ransom,S,5,4,9,0.0,0,0,0,0,0,0,0,OSU
76,73,Kaden Johnson,EDGE,1,8,9,0.0,0,0,0,0,0,0,0,NEV
77,73,Randolph Kpai,LB,6,3,9,0.0,0,0,0,0,0,0,0,UNM
78,73,Deontae Lawson,LB,3,6,9,0.0,0,1,0,0,0,0,0,ALA
79,73,Jaylen Reed,S,3,6,9,0.0,0,2,0,0,0,0,0,PSU
80,73,Anthony Wilson Jr.,S,3,6,9,0.0,0,0,0,0,0,0,0,WVU
81,73,Alijah Clark,DB,8,1,9,0.0,0,0,0,0,0,0,0,SYR
82,73,Eli BlakeyM-,DB,6,3,9,0.0,0,0,0,0,0,0,0,OH
83,73,C.J. Baskerville,DB,7,2,9,0.0,0,0,0,0,0,0,0,TTU
84,73,Wyett Ekeler,S,5,4,9,0.0,0,0,0,0,0,0,0,WYO
85,73,Isaac White,S,6,3,9,0.0,0,0,0,0,0,0,0,WYO
86,73,Trenilyas Tatum,LB,5,4,9,0.0,0,0,0,0,0,0,0,GT
87,73,Mike Green,DL,2,7,9,1.5,12,0,0,0,0,0,0,MRSH
88,73,Keli Lawson,LB,7,2,9,0.0,0,0,0,0,0,0,0,VT
89,73,Malik Verdon,DB,6,3,9,0.0,0,0,0,0,0,0,0,ISU
90,73,Jihaad Campbell,LB,6,3,9,0.0,0,0,0,0,0,0,0,ALA
91,73,Kamari Ramsey,S,5,4,9,0.0,0,0,0,0,0,0,0,USC
92,73,Johnny Hodges,LB,7,2,9,0.0,0,0,0,0,0,0,0,TCU
93,73,Treydan Stukes,DB,5,4,9,0.0,0,1,0,12,12,0,0,ARIZ
94,73,Teddye Buchanan,LB,2,7,9,0.0,0,1,0,0,0,0,0,CAL
95,73,Ahmaad Moses,S,3,6,9,0.0,0,0,1,0,0,0,0,SMU
96,73,Robert Rahimi,S,7,2,9,1.0,6,0,0,0,0,0,0,SJSU
97,73,Mason Woods,LB,3,6,9,0.0,0,0,0,0,0,0,0,KENT
98,73,Blake Nichelson,LB,4,5,9,0.0,0,0,0,0,0,0,0,FSU
99,73,Car'lin Vigers,CB,3,6,9,0.0,0,0,0,0,0,0,0,ULM
100,73,Taurean YorkTA&M,LB,3,6,9,0.0,0,0,0,0,0,0,0,
101,73,Carter Davis,DB,6,3,9,0.0,0,0,0,0,0,0,0,BC
102,73,Braden Awls,S,2,7,9,0.5,4,1,1,0,0,0,0,TOL
103,73,CJ Christian,DB,5,4,9,0.0,0,0,0,0,0,0,0,FIU
104,73,Carl Glass Jr.,LB,4,5,9,0.0,0,0,0,0,0,0,1,ULM
105,73,Justin Powe,S,5,4,9,0.0,0,0,0,0,0,0,0,TROY
106,73,Bryan Longwell,LB,2,7,9,0.0,0,1,0,0,0,0,0,VAN
107,73,Jaden Yates,LB,2,7,9,0.0,0,1,0,0,0,0,0,MRSH
108,73,Ty Benefield,S,6,3,9,0.0,0,0,0,0,0,0,0,BOIS
109,73,Will Lee IIITA&M,DB,8,1,9,0.0,0,1,0,0,0,0,0,
110,73,Tayden Barnes,S,5,4,9,0.0,0,2,1,0,0,0,0,NMSU
111,73,Jayden Hill,S,2,7,9,0.0,0,0,0,0,0,0,0,UNT
112,73,Jordan Scruggs,CB,3,6,9,0.0,0,1,0,0,0,0,0,USA
113,73,Patrick Smith-Young,S,6,3,9,1.0,11,0,0,0,0,0,0,ODU
114,115,Antonio Clary,S,3,5,8,0.0,0,0,0,0,0,0,0,UVA
115,115,Jack Kiser,LB,4,4,8,0.0,0,0,0,0,0,0,0,ND
116,115,Khairi Manns,DL,5,3,8,0.0,0,0,0,0,0,0,1,JMU
117,115,Fadil Diggs,DL,5,3,8,2.0,8,0,0,0,0,0,0,SYR
118,115,Justin Barron,DB,3,5,8,0.0,0,0,0,0,0,0,0,SYR
119,115,Landyn Watson,LB,3,5,8,0.0,0,0,0,0,0,0,0,MRSH
120,115,Chase Wilson,LB,3,5,8,0.0,0,0,1,0,0,0,0,CSU
