Position,field_pos,team_name,String Order,Player Number,First Name,Last Name,School year
WR,Offense,Army Black Knights,1st String,4,Fortner,Liam,JR
LT,Offense,Army Black Knights,1st String,60,Finucane,Connor,SR
LG,Offense,Army Black Knights,1st String,53,Katsigiannis,Bill,SR
C,Offense,Army Black Knights,1st String,51,Small,Brady,SO
RG,Offense,Army Black Knights,1st String,71,Gennarelli,Paolo,SO
RT,Offense,Army Black Knights,1st String,65,Scott,Lucas,SR
TE,Offense,Army Black Knights,1st String,85,Crossan,David,SR
QB,Offense,Army Black Knights,1st String,13,Daily,Bryson,SR
RB-A,Offense,Army Black Knights,1st String,6,Udoh,Kanye,SO
RB-B,Offense,Army Black Knights,1st String,21,Robinson,Tyrell,SR
SB,Offense,Army Black Knights,1st String,15,Short,Noah,JR
DE,Defense,Army Black Knights,1st String,95,Lewis,Kyle,SR
NT,Defense,Army Black Knights,1st String,62,Tuioti,Jacob,JR
DT,Defense,Army Black Knights,1st String,92,Latore,Jack,JR
OLB,Defense,Army Black Knights,1st String,18,Modozie,Elo,SO
MLB,Defense,Army Black Knights,1st String,53,Fortner,Kalib,JR
WLB,Defense,Army Black Knights,1st String,51,Thomas,Andon,JR
LCB,Defense,Army Black Knights,1st String,7,Mayes,Jaydan,JR
SS,Defense,Army Black Knights,1st String,20,Larkin,Casey,JR
FS,Defense,Army Black Knights,1st String,6,DiDomenico,Max,SR
RCB,Defense,Army Black Knights,1st String,28,Platt,Donavon,JR
NB,Defense,Army Black Knights,1st String,2,Keith,Chance,SR
PT,Special Teams,Army Black Knights,1st String,38,Allan,Cooper,JR
PK,Special Teams,Army Black Knights,1st String,96,Gronotte,Trey,SR
KO,Special Teams,Army Black Knights,1st String,1,Britton,Anderson,JR
LS,Special Teams,Army Black Knights,1st String,55,Walter,Owen,SO
H,Special Teams,Army Black Knights,1st String,99,Rhodes,Matthew,SR
PR,Special Teams,Army Black Knights,1st String,7,Mayes,Jaydan,JR
KR,Special Teams,Army Black Knights,1st String,23,Benson,"III,",Lloyd SO
WR,Offense,Army Black Knights,2nd String,87,Reynolds,Casey,SR
LT,Offense,Army Black Knights,2nd String,77,Law,Jordyn,SR
LG,Offense,Army Black Knights,2nd String,50,Bartosh,Braden,JR
C,Offense,Army Black Knights,2nd String,72,Parks,Lane,SO
RG,Offense,Army Black Knights,2nd String,59,Jeffcoat,Will,SR
RT,Offense,Army Black Knights,2nd String,70,Hoyt,David,SR
TE,Offense,Army Black Knights,2nd String,44,Poloskey,Parker,SO
QB,Offense,Army Black Knights,2nd String,10,Coleman,Dewayne,JR
RB-A,Offense,Army Black Knights,2nd String,33,Rendina,Jake,SO
RB-B,Offense,Army Black Knights,2nd String,22,Stewart,Miles,SR
SB,Offense,Army Black Knights,2nd String,27,Howard,Samari,SO
DE,Defense,Army Black Knights,2nd String,91,Sofia,Trey,SR
NT,Defense,Army Black Knights,2nd String,93,Winokur,Cody,SR
DT,Defense,Army Black Knights,2nd String,97,Miller,Dre,SR
OLB,Defense,Army Black Knights,2nd String,40,Ford,Eric,JR
MLB,Defense,Army Black Knights,2nd String,36,Gerena,Brett,SR
WLB,Defense,Army Black Knights,2nd String,21,Newsom,Baylor,SO
LCB,Defense,Army Black Knights,2nd String,16,Washington,Damon,SR
SS,Defense,Army Black Knights,2nd String,30,Matteson,Collin,JR
FS,Defense,Army Black Knights,2nd String,14,Shields,Gavin,JR
RCB,Defense,Army Black Knights,2nd String,17,Hammond,Jaxon,SO
NB,Defense,Army Black Knights,2nd String,25,Banks,Josiah,SR
PT,Special Teams,Army Black Knights,2nd String,13,Wagenseller,James,SO
PK,Special Teams,Army Black Knights,2nd String,,,,
KO,Special Teams,Army Black Knights,2nd String,,,,
LS,Special Teams,Army Black Knights,2nd String,,,,
H,Special Teams,Army Black Knights,2nd String,,,,
PR,Special Teams,Army Black Knights,2nd String,8,Weaver,Justin,JR
KR,Special Teams,Army Black Knights,2nd String,22,Stewart,Miles,SR
WR,Offense,Army Black Knights,3rd String,81,Olawole,Tobi,SO
LT,Offense,Army Black Knights,3rd String,,,,
LG,Offense,Army Black Knights,3rd String,,,,
C,Offense,Army Black Knights,3rd String,,,,
RG,Offense,Army Black Knights,3rd String,,,,
RT,Offense,Army Black Knights,3rd String,,,,
TE,Offense,Army Black Knights,3rd String,,,,
QB,Offense,Army Black Knights,3rd String,3,Hellums,Cale,SO
RB-A,Offense,Army Black Knights,3rd String,42,Williams,AJ,SR
RB-B,Offense,Army Black Knights,3rd String,5,Dickson,Jarel,SR
SB,Offense,Army Black Knights,3rd String,,,,
DE,Defense,Army Black Knights,3rd String,,,,
NT,Defense,Army Black Knights,3rd String,52,Harris-Miller,Kody,SO
DT,Defense,Army Black Knights,3rd String,,,,
OLB,Defense,Army Black Knights,3rd String,,,,
MLB,Defense,Army Black Knights,3rd String,,,,
WLB,Defense,Army Black Knights,3rd String,,,,
LCB,Defense,Army Black Knights,3rd String,,,,
SS,Defense,Army Black Knights,3rd String,,,,
FS,Defense,Army Black Knights,3rd String,,,,
RCB,Defense,Army Black Knights,3rd String,,,,
NB,Defense,Army Black Knights,3rd String,,,,
PT,Special Teams,Army Black Knights,3rd String,,,,
PK,Special Teams,Army Black Knights,3rd String,,,,
KO,Special Teams,Army Black Knights,3rd String,,,,
LS,Special Teams,Army Black Knights,3rd String,,,,
H,Special Teams,Army Black Knights,3rd String,,,,
PR,Special Teams,Army Black Knights,3rd String,,,,
KR,Special Teams,Army Black Knights,3rd String,,,,
WR,Offense,Army Black Knights,4th String,,,,
LT,Offense,Army Black Knights,4th String,,,,
LG,Offense,Army Black Knights,4th String,,,,
C,Offense,Army Black Knights,4th String,,,,
RG,Offense,Army Black Knights,4th String,,,,
RT,Offense,Army Black Knights,4th String,,,,
TE,Offense,Army Black Knights,4th String,,,,
QB,Offense,Army Black Knights,4th String,,,,
RB-A,Offense,Army Black Knights,4th String,,,,
RB-B,Offense,Army Black Knights,4th String,,,,
SB,Offense,Army Black Knights,4th String,,,,
DE,Defense,Army Black Knights,4th String,,,,
NT,Defense,Army Black Knights,4th String,,,,
DT,Defense,Army Black Knights,4th String,,,,
OLB,Defense,Army Black Knights,4th String,,,,
MLB,Defense,Army Black Knights,4th String,,,,
WLB,Defense,Army Black Knights,4th String,,,,
LCB,Defense,Army Black Knights,4th String,,,,
SS,Defense,Army Black Knights,4th String,,,,
FS,Defense,Army Black Knights,4th String,,,,
