,RK,Name,POS,CMP,ATT,CMP%,YDS,AVG,LNG,TD,INT,SACK,RTG,Team
0,1,Jaxson Dart,QB,47,54,87.0,795,14.7,61,6,0,4,247.4,MISS
1,2,Chandler Morris,QB,58,85,68.2,737,8.7,54,7,3,3,161.2,UNT
2,3,Kyle McCord,QB,59,85,69.4,735,8.6,42,8,1,2,170.8,SYR
3,4,Behren Morton,QB,64,100,64.0,701,7.0,42,6,2,2,138.7,TTU
4,5,Shedeur Sanders,QB,49,72,68.1,689,9.6,69,5,2,6,165.8,COLO
5,5,Cam Ward,QB,46,61,75.4,689,11.3,50,6,1,2,199.5,MIA
6,7,Haynes King,QB,64,84,76.2,687,8.2,52,3,1,0,154.3,GT
7,8,Brendan Sorsby,QB,44,69,63.8,681,9.9,61,5,0,3,170.6,CIN
8,9,Hank Bachmeier,QB,45,70,64.3,666,9.5,51,4,0,7,163.1,WAKE
9,10,Anthony Colandrea,QB,50,66,75.8,654,9.9,57,5,2,3,177.9,UVA
10,11,Taylen Green,QB,42,68,61.8,645,9.5,43,3,1,3,153.1,ARK
11,12,Eli Holstein,QB,50,75,66.7,635,8.5,56,6,2,5,158.9,PITT
12,13,Dillon Gabriel,QB,59,70,84.3,623,8.9,67,4,0,7,177.9,ORE
13,14,Josh Hoover,QB,48,67,71.6,620,9.3,46,4,0,1,169.1,TCU
14,15,Garrett Nussmeier,QB,57,76,75.0,610,8.0,41,8,1,0,174.5,LSU
15,16,Miller Moss,QB,48,66,72.7,607,9.2,41,2,0,2,160.0,USC
16,17,Noah Fifita,QB,37,57,64.9,595,10.4,78,5,2,2,174.5,ARIZ
17,18,Mikey Keene,QB,46,71,64.8,593,8.4,75,3,4,4,137.6,FRES
18,19,Jake Garcia,QB,48,74,64.9,591,8.0,39,4,7,4,130.9,ECU
19,20,Tyler Shough,QB,39,57,68.4,581,10.2,51,6,0,1,188.8,LOU
20,21,Jaylen Raynor,QB,45,79,57.0,572,7.2,58,3,2,4,125.3,ARST
21,22,Alan Bowman,QB,51,81,63.0,571,7.0,63,3,1,0,131.9,OKST
22,23,JC French,QB,51,87,58.6,565,6.5,48,4,0,5,128.3,GASO
23,24,Billy Edwards Jr.,QB,46,61,75.4,564,9.2,75,4,1,1,171.4,MD
24,25,Brendon Lewis,QB,54,81,66.7,561,6.9,62,5,0,2,145.2,NEV
25,26,Emmett Brown,QB,37,66,56.1,560,8.5,58,5,2,4,146.3,SJSU
26,27,Jake Retzlaff,QB,35,58,60.3,550,9.5,57,4,2,3,155.9,BYU
27,28,Jordan McCloud,QB,39,57,68.4,547,9.6,60,5,2,1,171.0,TXST
28,28,Darian Mensah,QB,29,41,70.7,547,13.3,68,4,1,5,210.1,TULN
29,30,Joey Aguilar,QB,40,77,51.9,540,7.0,83,3,0,1,123.7,APP
30,31,Rocco Becht,QB,43,61,70.5,539,8.8,75,4,1,1,163.1,ISU
31,32,Maalik Murphy,QB,50,79,63.3,533,6.7,55,5,2,2,135.8,DUKE
32,33,Ethan Hampton,QB,28,39,71.8,526,13.5,83,6,0,0,235.9,NIU
33,34,Nico Iamaleava,QB,38,51,74.5,525,10.3,59,5,2,1,185.5,TENN
34,35,Will Howard,QB,35,54,64.8,520,9.6,70,4,0,0,170.2,OSU
35,35,Carson Beck,QB,41,58,70.7,520,9.0,50,7,0,1,185.8,UGA
36,35,Cade Klubnik,QB,42,55,76.4,520,9.5,76,5,1,2,182.1,CLEM
37,38,Blake Shapen,QB,33,48,68.8,515,10.7,80,5,0,4,193.2,MSST
38,39,Will Rogers,QB,41,52,78.8,511,9.8,41,5,0,2,193.1,WASH
39,40,Quinn Ewers,QB,44,63,69.8,506,8.0,38,6,1,1,165.6,TEX
40,41,Kaidon Salter,QB,32,52,61.5,498,9.6,70,2,0,3,154.7,LIB
41,41,Kirk Francis,QB,39,58,67.2,498,8.6,45,5,1,0,164.4,TLSA
42,43,Ben Wooldridge,QB,40,52,76.9,497,9.6,56,4,1,1,178.7,UL
43,44,Joe Labas,QB,38,63,60.3,493,7.8,72,5,5,2,136.4,CMU
44,45,Payton Thorne,QB,27,48,56.3,487,10.1,70,5,4,3,159.2,AUB
45,45,DJ Lagway,QB,21,31,67.7,487,15.7,85,3,1,0,225.2,FLA
46,47,Joe Fagnano,QB,21,35,60.0,477,13.6,60,6,1,0,225.3,CONN
47,47,Aidan Chiles,QB,34,63,54.0,477,7.6,77,3,5,3,117.4,MSU
48,49,Seth Henigan,QB,42,60,70.0,469,7.8,45,3,0,1,152.2,MEM
49,50,John Mateer,QB,20,36,55.6,467,13.0,59,6,1,1,214.0,WSU
50,51,DJ Uiagalelei,QB,40,69,58.0,465,6.7,30,1,1,4,116.5,FSU
51,52,Brady Cook,QB,48,67,71.6,456,6.8,49,1,1,0,130.8,MIZ
52,53,Kyron Drones,QB,36,54,66.7,452,8.4,62,3,1,7,151.6,VT
53,54,Kurtis Rourke,QB,30,41,73.2,448,10.9,71,3,0,2,189.1,IU
54,54,Christian Veilleux,QB,45,72,62.5,448,6.2,28,3,0,1,128.5,GAST
55,56,Owen McCown,QB,38,61,62.3,445,7.3,61,3,0,5,139.8,UTSA
56,57,TJ Finley,QB,45,70,64.3,443,6.3,42,1,2,1,116.4,WKU
57,58,Taisun Phommachanh,QB,46,70,65.7,436,6.2,39,1,1,11,119.9,MASS
58,58,Max Brosmer,QB,37,51,72.5,436,8.5,29,2,0,6,157.3,MINN
59,60,Gio Lopez,QB,26,49,53.1,432,8.8,52,3,0,2,147.3,USA
60,60,Devon Dampier,QB,42,68,61.8,432,6.4,53,4,2,0,128.7,UNM
61,62,Brayden Schager,QB,42,76,55.3,430,5.7,29,3,2,6,110.6,HAW
62,63,Maddux Madsen,QB,39,71,54.9,428,6.0,53,2,1,1,112.0,BOIS
63,64,Dylan Raiola,QB,42,57,73.7,423,7.4,59,3,0,1,153.4,NEB
64,65,Connor Bazelak,QB,40,61,65.6,422,6.9,32,2,2,0,127.9,BGSU
65,65,Grayson McCall,QB,41,62,66.1,422,6.8,35,3,2,4,132.8,NCSU
66,67,Drew Allar,QB,24,37,64.9,420,11.4,55,5,1,2,199.4,PSU
67,68,Nicholas Vattiato,QB,41,68,60.3,419,6.2,29,1,2,3,111.0,MTSU
68,69,E.J. Warner,QB,47,74,63.5,416,5.6,34,3,3,2,116.0,RICE
69,70,Skyler Locklear,QB,33,46,71.7,410,8.9,65,2,1,4,156.6,UTEP
70,71,Ethan Vasko,QB,20,42,47.6,409,9.7,59,2,1,0,140.4,CCU
71,72,Tyler Van Dyke,QB,38,63,60.3,406,6.4,50,1,0,3,119.7,WIS
