,RK,Name,POS,REC,YDS,AVG,LNG,TD,Team
0,1,Tetairoa McMillan,WR,10,304,30.4,78,4,ARIZ
1,2,Damon Ward Jr.,WR,12,230,19.2,54,2,UNT
2,3,Luke Wysong,WR,14,224,16.0,53,1,UNM
3,4,Jimmy Horn Jr.,WR,7,198,28.3,69,1,COLO
4,5,Malik Rutherford,WR,11,197,17.9,52,1,GT
5,5,Jamaal Pritchett,WR,10,197,19.7,52,1,USA
6,7,Pofele Ashlock,WR,14,193,13.8,29,1,HAW
7,8,Corey Rucker,WR,9,179,19.9,58,1,ARST
8,8,Tre Harris,WR,8,179,22.4,61,2,MISS
9,10,Tai Felton,WR,7,178,25.4,75,2,MD
10,11,RJ Maryland,TE,9,173,19.2,49,1,SMU
11,12,Nick Nash,WR,10,170,17.0,26,2,SJSU
12,13,Josh Kelly,WR,10,156,15.6,35,1,TTU
13,14,Dijon Stanley,RB,3,150,50.0,79,2,UTAH
14,15,Kyle Williams,WR,4,141,35.3,59,2,WSU
15,15,Skyler Bell,WR,5,141,28.2,37,0,CONN
16,17,Jack Bech,WR,6,139,23.2,46,1,TCU
17,17,Ryan Williams,WR,2,139,69.5,84,2,ALA
18,19,Coleman Owen,WR,10,137,13.7,27,0,OHIO
19,20,Jaylin Noel,WR,8,135,16.9,54,1,ISU
20,21,Travis Hunter,ATH,7,132,18.9,41,3,COLO
21,22,Kyrese White,WR,3,131,43.7,57,2,USU
22,23,Mario Williams,WR,4,124,31.0,68,0,TULN
23,24,Isaiah Neyor,WR,6,121,20.2,59,1,NEB
24,24,Ja'Khi Douglas,WR,8,121,15.1,30,0,FSU
25,24,Kevin Concepcion,WR,9,121,13.4,35,3,NCSU
26,27,Harrison Wallace,WR,5,117,23.4,50,2,IIIPSU
27,28,Isiah Paige,WR,8,115,14.4,72,1,ODU
28,29,Jaden Smith,WR,10,113,11.3,25,0,NEV
29,30,Xavier Restrepo,WR,7,112,16.0,40,1,MIA
30,30,Jordan Moore,WR,7,112,16.0,47,0,DUKE
31,32,Luke Grimm,WR,6,111,18.5,58,1,KU
32,33,Treon Sibley,WR,5,109,21.8,70,1,LIB
33,33,Solomon Davis,WR,4,109,27.3,72,2,CMU
34,35,Oronde Gadsden,TE,7,108,15.4,28,1,IISYR
35,35,Chase Roberts,WR,7,108,15.4,25,0,BYU
36,37,JP Richardson,WR,6,107,17.8,34,0,TCU
37,38,Dont'e Thornton Jr.,WR,3,105,35.0,59,2,TENN
38,38,Cade McDonaldM-,WR,8,105,13.1,24,0,OH
39,38,Kenny Johnson,WR,7,105,15.0,46,1,PITT
40,41,Jordan Mosley,WR,5,104,20.8,65,1,MSST
41,41,Trayvon Rudolph,WR,4,104,26.0,47,1,NIU
42,41,Luke Floriea,WR,6,104,17.3,41,1,KENT
