,RK,Name,POS,ATT,YDS,AVG,LNG,TD,Team
0,1,Ashton Jeanty,RB,20,267,13.4,77,6,BOIS
1,2,Marquez Cooper,RB,27,223,8.3,47,2,SDSU
2,3,Anthony Tyus,RB,16,203,12.7,46,2,IIIOHIO
3,4,Brashard Smith,RB,20,175,8.8,47,3,SMU
4,5,Kyle Monangai,RB,19,165,8.7,39,1,RUTG
5,5,Savion Red,RB,23,165,7.2,69,1,NEV
6,7,Devon Dampier,QB,18,164,9.1,26,3,UNM
7,8,Terion Stewart,RB,14,161,11.5,73,3,BGSU
8,9,Jam Griffin,RB,20,160,8.0,22,2,ORST
9,10,Jamal Haynes,RB,28,159,5.7,36,3,GT
10,11,Ismail Mahdi,RB,28,156,5.6,25,1,TXST
11,12,Anthony Hankerson,RB,24,155,6.5,23,2,ORST
12,13,Tahj Brooks,RB,27,153,5.7,21,1,TTU
13,14,Desmond Reid,RB,14,145,10.4,46,1,PITT
14,15,RJ Harvey,RB,11,142,12.9,60,2,UCF
15,16,Demond Claiborne,RB,17,135,7.9,48,1,WAKE
16,17,Omarion Hampton,RB,30,129,4.3,16,0,UNC
17,18,Jonah Coleman,RB,16,127,7.9,25,3,WASH
18,19,Ollie Gordon,RB,28,126,4.5,22,3,IIOKST
19,20,Jordan Waters,RB,20,124,6.2,50,2,NCSU
20,20,DJ Giddens,RB,13,124,9.5,48,0,KSU
21,20,Dylan Sampson,RB,12,124,10.3,56,3,TENN
22,23,Isaac Brown,RB,5,123,24.6,77,1,LOU
23,24,Kaleb Johnson,RB,11,119,10.8,64,2,IOWA
24,24,A.J. Turner,RB,8,119,14.9,80,1,MRSH
25,26,Eli Sanders,RB,33,117,3.5,36,0,UNM
26,27,Nicholas Singleton,RB,13,114,8.8,40,1,PSU
27,28,Devin Neal,RB,8,112,14.0,53,2,KU
28,29,Brendon Lewis,QB,26,111,4.3,21,0,NEV
29,30,Quinton Cooley,RB,16,110,6.9,17,1,LIB
30,30,Sire Gaines,RB,12,110,9.2,38,1,BOIS
31,32,Kaden Feagin,RB,16,108,6.8,29,1,ILL
32,33,Jacory Croskey-Merritt,RB,13,106,8.2,36,1,ARIZ
33,33,Montrell Johnson Jr.,RB,11,106,9.6,71,1,FLA
34,33,Justin Marshall,RB,25,106,4.2,13,0,CSU
35,36,Evan Pryor,RB,4,105,26.3,64,1,CIN
36,37,Diego Pavia,QB,26,104,4.0,27,1,VAN
37,38,Damien Taylor,RB,11,103,9.4,30,1,TROY
