,RK,Name,POS,RUSH,REC,RET,TD,FG,XP,2PT,PTS,PTS/G,Team
0,1,Ashton Jeanty,RB,6,0,0,6,0,0,0,36,36.0,BOIS
1,2,Tetairoa McMillan,WR,0,4,0,4,0,0,0,24,24.0,ARIZ
2,3,Brant Kuithe,TE,0,3,0,3,0,0,0,18,18.0,UTAH
3,3,Athan Kaliakmanis,QB,0,0,0,3,0,0,0,18,18.0,RUTG
4,3,Terion Stewart,RB,3,0,0,3,0,0,0,18,18.0,BGSU
5,3,Trebor Pena,WR,1,2,0,3,0,0,0,18,18.0,SYR
6,3,Brashard Smith,RB,3,0,0,3,0,0,0,18,9.0,SMU
7,3,Jalen White,RB,3,0,0,3,0,0,0,18,18.0,GASO
8,3,Jamal Haynes,RB,3,0,0,3,0,0,0,18,9.0,GT
9,3,Deion Burks,WR,0,3,0,3,0,0,0,18,18.0,OU
10,3,Travis Hunter,ATH,0,3,0,3,0,0,0,18,18.0,COLO
11,3,Quali Conley,RB,3,0,0,3,0,0,0,18,18.0,ARIZ
12,3,Jonah Coleman,RB,3,0,0,3,0,0,0,18,18.0,WASH
13,3,Ollie Gordon,RB,3,0,0,3,0,0,0,18,18.0,IIOKST
14,3,Kevin Concepcion,WR,0,3,0,3,0,0,0,18,18.0,NCSU
15,3,Dylan Sampson,RB,3,0,0,3,0,0,0,18,18.0,TENN
16,3,Devon Dampier,QB,3,0,0,3,0,0,0,18,9.0,UNM
17,18,Caden Davis,PK,0,0,0,0,2,10,0,16,16.0,MISS
18,19,Tyler Keltner,PK,0,0,0,0,3,6,0,15,15.0,OU
19,19,Blake Craig,PK,0,0,0,0,3,6,0,15,15.0,MIZ
20,21,Ryan Fitzgerald,PK,0,0,0,0,4,2,0,14,7.0,FSU
21,21,Logan Ward,PK,0,0,0,0,3,5,0,14,14.0,OKST
22,21,Eli Heidenreich,RB,0,2,0,2,0,0,1,14,14.0,NAVY
23,21,Luke Drzewiecki,PK,0,0,0,0,2,8,0,14,7.0,UNM
24,21,Collin Rogers,PK,0,0,0,0,3,5,0,14,7.0,SMU
25,26,Ben Sauls,PK,0,0,0,0,2,7,0,13,13.0,PITT
26,26,Noah Burnette,PK,0,0,0,0,4,1,0,13,13.0,UNC
27,26,Tyler Loop,PK,0,0,0,0,2,7,0,13,13.0,ARIZ
28,26,Kade Hensley,PK,0,0,0,0,2,7,0,13,13.0,CCU
29,26,Jack Howes,PK,0,0,0,0,3,4,0,13,13.0,MD
30,26,Colton Boomer,PK,0,0,0,0,2,7,0,13,13.0,UCF
